,state,incident_type,count,percentage
0,AK,Biological,121,38.05
8,AK,Severe Storm,74,23.27
4,AK,Flood,50,15.72
3,AK,Fire,30,9.43
5,AK,Freezing,14,4.4
2,AK,Earthquake,13,4.09
6,AK,Mud/Landslide,6,1.89
7,AK,Other,4,1.26
9,AK,Snowstorm,4,1.26
1,AK,Coastal Storm,2,0.63
14,AL,Hurricane,611,36.7
15,AL,Severe Storm,604,36.28
10,AL,Biological,139,8.35
13,AL,Flood,104,6.25
11,AL,Drought,67,4.02
16,AL,Snowstorm,67,4.02
17,AL,Tornado,62,3.72
12,AL,Fire,11,0.66
23,AR,Severe Storm,633,39.74
20,AR,Flood,271,17.01
22,AR,Severe Ice Storm,207,12.99
21,AR,Hurricane,168,10.55
18,AR,Biological,152,9.54
25,AR,Tornado,113,7.09
19,AR,Drought,32,2.01
24,AR,Snowstorm,17,1.07
30,AS,Hurricane,25,32.89
32,AS,Typhoon,18,23.68
26,AS,Biological,10,13.16
31,AS,Severe Storm,8,10.53
27,AS,Drought,5,6.58
28,AS,Earthquake,5,6.58
29,AS,Flood,5,6.58
35,AZ,Fire,88,26.27
36,AZ,Flood,82,24.48
33,AZ,Biological,73,21.79
39,AZ,Severe Storm,68,20.3
38,AZ,Hurricane,15,4.48
34,AZ,Drought,8,2.39
37,AZ,Freezing,1,0.3
45,CA,Fire,460,28.77
47,CA,Flood,448,28.02
51,CA,Severe Storm,325,20.33
40,CA,Biological,116,7.25
49,CA,Hurricane,58,3.63
48,CA,Freezing,57,3.56
43,CA,Drought,47,2.94
41,CA,Coastal Storm,43,2.69
44,CA,Earthquake,32,2.0
42,CA,Dam/Levee Break,5,0.31
46,CA,Fishing Losses,4,0.25
52,CA,Tsunami,3,0.19
50,CA,Other,1,0.06
57,CO,Fire,151,23.37
58,CO,Flood,146,22.6
53,CO,Biological,132,20.43
54,CO,Coastal Storm,64,9.91
60,CO,Snowstorm,55,8.51
56,CO,Drought,42,6.5
59,CO,Severe Storm,28,4.33
61,CO,Tornado,27,4.18
